18.973326	18.973326	
22.324909	22.324909	
45.068292	45.068292	
56.743957	56.743957	 
63.051540	63.051540	
76.092810	76.092810	
119.508683	119.508683	
141.959476	141.959476	
153.102334	153.102334	
158.302334	158.302334	
180.257889	180.257889	
195.940429	195.940429	
205.148818	205.148818	
214.393262	214.393262	
218.437707	218.437707	
245.015485	245.015485	
255.332945	255.332945	
287.193262	287.193262	
296.107548	296.107548	
301.367629	301.367629	
307.984377	307.984377	
313.857073	313.857073	
318.912641	318.912641	
327.648608	327.648608	
334.323421	334.323421	
352.547777	352.547777	
375.098024	375.098024	
379.802786	379.802786	
390.863104	390.863104	
397.136119	397.136119	
418.290085	418.290085	
432.958342	432.958342	
437.130544	437.130544	
445.421834	445.421834	
457.352814	457.352814	
461.312233	461.312233	
473.057626	473.057626	
502.704373	502.704373	
507.326596	507.326596	
515.495162	515.495162	
521.110723	521.110723	
